,l,r,total_sims,explosive_k,selection,round_number,num_rigid_sims,num_rigid_sims_ignore_corners,pct_rigid,pct_rigid_minus_corners
0,5,0.04,200,1,<function argmin at 0x7f913c80a700>,0,0.0,0.0,0.0,0.0
1,5,0.04,200,2,<function argmin at 0x7f913c80a700>,0,0.0,0.0,0.0,0.0
2,5,0.04,200,5,<function argmin at 0x7f913c80a700>,0,0.0,0.0,0.0,0.0
3,5,0.04,200,10,<function argmin at 0x7f913c80a700>,0,0.0,0.0,0.0,0.0
4,5,0.04,200,25,<function argmin at 0x7f913c80a700>,0,0.0,0.0,0.0,0.0
5,5,0.08,200,1,<function argmin at 0x7f913c80a700>,1,0.0,0.0,0.0,0.0
6,5,0.08,200,2,<function argmin at 0x7f913c80a700>,1,0.0,0.0,0.0,0.0
7,5,0.08,200,5,<function argmin at 0x7f913c80a700>,1,0.0,0.0,0.0,0.0
8,5,0.08,200,10,<function argmin at 0x7f913c80a700>,1,0.0,0.0,0.0,0.0
9,5,0.08,200,25,<function argmin at 0x7f913c80a700>,1,0.0,0.0,0.0,0.0
10,5,0.12,200,1,<function argmin at 0x7f913c80a700>,2,0.0,0.0,0.0,0.0
11,5,0.12,200,2,<function argmin at 0x7f913c80a700>,2,0.0,0.0,0.0,0.0
12,5,0.12,200,5,<function argmin at 0x7f913c80a700>,2,0.0,0.0,0.0,0.0
13,5,0.12,200,10,<function argmin at 0x7f913c80a700>,2,0.0,0.0,0.0,0.0
14,5,0.12,200,25,<function argmin at 0x7f913c80a700>,2,0.0,0.0,0.0,0.0
15,5,0.16,200,1,<function argmin at 0x7f913c80a700>,3,0.0,0.0,0.0,0.0
16,5,0.16,200,2,<function argmin at 0x7f913c80a700>,3,0.0,0.0,0.0,0.0
17,5,0.16,200,5,<function argmin at 0x7f913c80a700>,3,0.0,0.0,0.0,0.0
18,5,0.16,200,10,<function argmin at 0x7f913c80a700>,3,0.0,0.0,0.0,0.0
19,5,0.16,200,25,<function argmin at 0x7f913c80a700>,3,0.0,0.0,0.0,0.0
20,5,0.2,200,1,<function argmin at 0x7f913c80a700>,4,0.0,0.0,0.0,0.0
21,5,0.2,200,2,<function argmin at 0x7f913c80a700>,4,0.0,0.0,0.0,0.0
22,5,0.2,200,5,<function argmin at 0x7f913c80a700>,4,0.0,0.0,0.0,0.0
23,5,0.2,200,10,<function argmin at 0x7f913c80a700>,4,0.0,0.0,0.0,0.0
24,5,0.2,200,25,<function argmin at 0x7f913c80a700>,4,0.0,0.0,0.0,0.0
25,5,0.24,200,1,<function argmin at 0x7f913c80a700>,5,0.0,0.0,0.0,0.0
26,5,0.24,200,2,<function argmin at 0x7f913c80a700>,5,0.0,0.0,0.0,0.0
27,5,0.24,200,5,<function argmin at 0x7f913c80a700>,5,0.0,0.0,0.0,0.0
28,5,0.24,200,10,<function argmin at 0x7f913c80a700>,5,0.0,0.0,0.0,0.0
29,5,0.24,200,25,<function argmin at 0x7f913c80a700>,5,0.0,0.0,0.0,0.0
30,5,0.28,200,1,<function argmin at 0x7f913c80a700>,6,0.0,3.0,0.0,0.015
31,5,0.28,200,2,<function argmin at 0x7f913c80a700>,6,0.0,3.0,0.0,0.015
32,5,0.28,200,5,<function argmin at 0x7f913c80a700>,6,0.0,2.0,0.0,0.01
